City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,atbara,17.7022,33.9864,26.44,50,58,3.86,SD,1700957217
1,haparanda,65.8355,24.1368,-3.97,97,99,1.75,SE,1700957217
2,vuktyl,63.8567,57.3094,-12.16,93,100,1.34,RU,1700957218
3,vila velha,-20.3297,-40.2925,23.97,71,75,5.14,BR,1700957218
4,la foa,-21.7108,165.8276,25.32,58,89,3.3,NC,1700957219
5,port-aux-francais,-49.35,70.2167,3.6,75,20,15.85,TF,1700957219
6,port mathurin,-19.6833,63.4167,24.52,71,31,7.01,MU,1700957220
7,edinburgh of the seven seas,-37.0676,-12.3116,14.17,85,17,13.05,SH,1700957220
8,bethel,41.3712,-73.414,1.38,69,0,0.0,US,1700957219
9,puerto natales,-51.7236,-72.4875,5.92,88,55,8.41,CL,1700957221
10,san angelo,31.4638,-100.437,12.52,85,100,0.89,US,1700956930
11,iqaluit,63.7506,-68.5145,-13.15,78,75,5.14,CA,1700956978
12,pathein,16.7833,94.7333,21.08,87,59,2.56,MM,1700956637
13,tadine,-21.55,167.8833,24.14,64,62,4.79,NC,1700957222
14,kuala lipis,4.1842,102.0468,22.89,100,99,0.34,MY,1700957223
15,udachny,66.4167,112.4,-17.75,96,100,7.9,RU,1700957206
16,port lincoln,-34.7333,135.8667,17.43,66,100,3.25,AU,1700957223
17,lihue,21.9789,-159.3672,27.58,78,7,3.8,US,1700956953
18,ouani,-12.1322,44.4258,27.0,76,100,2.5,KM,1700957224
19,crane,31.3974,-102.3501,12.94,76,50,3.55,US,1700957225
20,port elizabeth,-33.918,25.5701,19.16,88,100,1.03,ZA,1700957009
21,egilsstadir,65.2653,-14.3948,1.82,88,97,2.5,IS,1700957225
22,vorgashor,67.5833,63.95,-10.78,89,100,2.81,RU,1700957226
23,jamestown,42.097,-79.2353,1.8,62,75,0.0,US,1700957194
24,horsham,51.064,-0.3272,1.81,70,0,1.03,GB,1700957187
25,nova sintra,14.8667,-24.7167,22.57,71,11,8.75,CV,1700957227
26,susuman,62.7833,148.1667,-24.96,99,100,2.41,RU,1700957227
27,college,64.8569,-147.8028,-9.03,84,40,0.0,US,1700956416
28,hell-ville,-13.4,48.2667,27.4,73,96,1.55,MG,1700957228
29,blackmans bay,-43.0167,147.3167,13.07,96,100,6.26,AU,1700957229
30,fort bragg,35.139,-79.006,6.91,62,0,2.06,US,1700957230
31,northam,51.0333,-4.2167,8.14,85,100,3.32,GB,1700957230
32,upata,8.0086,-62.3989,22.88,96,100,2.44,VE,1700957230
33,badger,64.8,-147.5333,-11.12,89,0,1.54,US,1700957231
34,adamstown,-25.066,-130.1015,21.63,84,100,11.58,PN,1700957231
35,lebu,-37.6167,-73.65,11.42,88,15,8.28,CL,1700957232
36,papatowai,-46.5619,169.4708,15.57,64,64,4.3,NZ,1700957232
37,chernyshevskiy,63.0128,112.4714,-26.53,97,97,1.14,RU,1700957232
38,sinop,41.7711,34.8709,11.68,73,96,10.03,TR,1700957233
39,kodinsk,58.6881,99.1844,-23.17,99,10,1.2,RU,1700957233
40,ust'-ilimsk,58.0006,102.6619,-22.93,100,88,1.01,RU,1700957234
41,tyukhtet,56.5389,89.3011,-7.25,93,100,3.52,RU,1700957234
42,hirara,24.8,125.2833,22.87,80,100,9.39,JP,1700957235
43,kapoeta,4.7717,33.5903,24.92,64,30,1.06,SS,1700957236
44,santa isabel,-23.3156,-46.2214,16.84,94,100,1.77,BR,1700957019
45,mar del plata,-38.0023,-57.5575,23.38,54,74,9.39,AR,1700957237
46,zag,46.9441,99.165,-13.98,87,9,2.74,MN,1700957237
47,petropavlovsk-kamchatsky,53.0452,158.6483,-6.42,69,20,11.62,RU,1700956662
48,karratha,-20.7377,116.8463,30.49,41,7,4.66,AU,1700957238
49,ribeira grande,38.5167,-28.7,20.43,96,100,5.81,PT,1700957238
50,taoudenni,22.6783,-3.9836,17.65,21,0,4.09,ML,1700957239
51,kongsvinger,60.1905,11.9977,-7.52,81,8,2.08,NO,1700957239
52,grytviken,-54.2811,-36.5092,-0.07,79,27,3.89,GS,1700957240
53,isafjordur,66.0755,-23.124,3.94,97,100,2.73,IS,1700957240
54,arua,3.0201,30.9111,17.64,93,85,4.6,UG,1700957240
55,prince rupert,54.3161,-130.3201,6.83,100,100,1.03,CA,1700956954
56,kodiak,57.79,-152.4072,5.73,100,100,3.09,US,1700957241
57,bontang,0.1333,117.5,26.37,85,100,0.72,ID,1700957242
58,joao neiva,-19.7575,-40.3856,21.89,71,82,3.53,BR,1700957242
59,luderitz,-26.6481,15.1594,18.6,48,3,5.54,NA,1700957243
60,fort saskatchewan,53.7168,-113.2187,0.55,74,42,3.58,CA,1700957243
61,mhamid,29.82,-5.72,13.53,30,99,1.82,MA,1700957244
62,labrador city,52.9463,-66.9114,-16.05,27,100,7.72,CA,1700957244
63,yermentau,51.6214,73.1069,-2.06,60,98,6.32,KZ,1700957244
64,la passe,45.5549,-0.8967,0.13,79,45,3.46,FR,1700956656
65,xingcheng,40.6167,120.7167,-1.42,48,0,3.95,CN,1700957245
66,ushuaia,-54.8,-68.3,5.3,97,86,2.41,AR,1700957246
67,shingu,33.7333,135.9833,11.34,64,17,1.08,JP,1700957246
68,saipan,15.1355,145.701,28.39,89,100,9.26,MP,1700957197
69,albany,42.6001,-73.9662,0.91,67,98,0.45,US,1700957247
70,mutuali,-14.8706,37.0044,24.08,58,68,1.74,MZ,1700957248
71,dongsheng,39.8161,109.9776,-2.27,41,58,6.7,CN,1700957248
72,fort mcmurray,56.7268,-111.381,-7.72,73,25,2.8,CA,1700957249
73,mbandaka,0.0487,18.2603,21.38,97,96,1.6,CD,1700957249
74,whitefish,48.4111,-114.3376,-1.24,80,0,0.0,US,1700957132
75,kristiansund,63.1115,7.732,2.36,87,75,2.06,NO,1700957251
76,thunder bay,48.4001,-89.3168,-1.38,32,100,4.56,CA,1700957251
77,margaret river,-33.95,115.0667,21.95,48,84,7.24,AU,1700957252
78,ponta delgada,37.7333,-25.6667,19.4,94,75,6.17,PT,1700957252
79,whitehorse,60.7161,-135.0538,1.17,86,100,3.58,CA,1700956709
80,suoyarvi,62.0833,32.35,-14.43,97,100,1.13,RU,1700957112
81,wailua homesteads,22.0669,-159.378,26.44,81,75,4.63,US,1700957253
82,corinto,37.9407,22.9573,12.84,70,48,3.58,GR,1700957254
83,tarawa,1.419,172.984,32.05,66,40,2.57,KI,1700957254
84,puerto princesa,9.7392,118.7353,27.97,82,69,4.22,PH,1700957255
85,hawaiian paradise park,19.5933,-154.9731,26.13,79,100,3.09,US,1700957255
86,san luis de la loma,17.2706,-100.8939,26.1,77,0,0.8,MX,1700956694
87,jose maria morelos,23.3952,-103.8984,13.46,28,17,3.04,MX,1700957256
88,beira,-19.8436,34.8389,25.49,91,45,2.67,MZ,1700957256
89,houghton,47.1219,-88.569,0.71,51,100,4.63,US,1700957257
90,invercargill,-46.4,168.35,14.45,73,63,1.34,NZ,1700957257
91,hovd,48.0056,91.6419,-7.38,66,65,2.34,MN,1700957258
92,bilibino,68.0546,166.4372,-12.5,91,100,2.33,RU,1700957258
93,iskateley,67.6803,53.1512,-21.53,99,85,2.11,RU,1700957060
94,baker city,44.7749,-117.8344,1.84,55,0,1.54,US,1700957259
95,itaituba,-4.2761,-55.9836,27.55,60,93,1.21,BR,1700957260
96,yellowknife,62.456,-114.3525,-25.14,96,11,2.28,CA,1700957260
97,sur,22.5667,59.5289,24.6,66,6,2.58,OM,1700957261
98,enewetak,11.3474,162.3373,27.9,76,35,9.53,MH,1700957261
99,waitangi,-43.9535,-176.5597,16.01,96,100,6.42,NZ,1700957262
100,mermoz boabab,14.7065,-17.4758,23.31,55,0,6.44,SN,1700957262
101,sitka,57.0531,-135.33,8.94,87,100,1.54,US,1700957263
102,gokceada,40.2011,25.909,13.6,72,82,15.83,TR,1700957263
103,geraldton,-28.7667,114.6,22.23,78,100,2.57,AU,1700957264
104,thompson,55.7435,-97.8558,-6.46,92,100,4.12,CA,1700957264
105,afaahiti,-17.75,-149.2833,29.93,75,92,8.36,PF,1700957265
106,codrington,-38.2667,141.9667,14.29,82,100,6.74,AU,1700957265
107,uturoa,-16.7333,-151.4333,26.67,77,80,10.04,PF,1700957265
108,diebougou,10.9667,-3.25,30.32,30,100,1.62,BF,1700957266
109,taltal,-25.4,-70.4833,17.77,76,23,1.62,CL,1700957266
110,rongelap,11.1635,166.8941,27.84,80,48,8.0,MH,1700957267
111,yanam,16.7333,82.2167,24.68,77,14,3.45,IN,1700957267
112,fuglafjordur,62.244,-6.814,5.26,84,99,5.39,FO,1700957268
113,freeport,40.6576,-73.5832,4.42,63,0,2.06,US,1700957268
114,west island,-12.1568,96.8225,25.99,78,100,7.2,CC,1700957269
115,kone,-21.0595,164.8658,27.38,55,97,0.96,NC,1700957269
116,saldanha,-33.0117,17.9442,16.31,84,5,5.89,ZA,1700957269
117,carutapera,-1.195,-46.02,27.03,75,8,3.69,BR,1700957270
118,kiffa,16.6166,-11.4045,22.92,15,0,4.04,MR,1700957270
119,toliara,-23.35,43.6667,24.67,90,16,1.18,MG,1700957271
120,itoman,26.1247,127.6694,22.21,68,75,5.14,JP,1700957271
121,maracacume,-2.0428,-45.9592,25.81,76,41,2.25,BR,1700956997
122,ketchikan,55.3422,-131.6461,7.99,100,100,2.57,US,1700957272
123,cidreira,-30.1811,-50.2056,18.96,70,23,6.55,BR,1700957273
124,atar,20.5169,-13.0499,19.57,19,0,3.89,MR,1700957273
125,ilulissat,69.2167,-51.1,7.01,57,100,6.69,GL,1700957274
126,qaqortoq,60.7167,-46.0333,-0.34,95,100,2.99,GL,1700956682
127,salinopolis,-0.6136,-47.3561,27.51,76,29,4.73,BR,1700957178
128,can,40.0333,27.0524,14.98,82,64,11.6,TR,1700957275
129,xilin hot,43.9667,116.0333,-14.09,86,88,2.54,CN,1700957275
130,mata-utu,-13.2816,-176.1745,28.8,73,83,4.89,WF,1700957276
131,longyearbyen,78.2186,15.6401,-10.85,87,91,0.54,SJ,1700957276
132,inarajan village,13.2736,144.7484,31.54,86,37,8.14,GU,1700957277
133,posto fiscal rolim de moura,-13.0833,-62.2667,23.44,96,93,1.36,BR,1700957277
134,sake,-1.5736,29.045,16.84,96,100,0.44,CD,1700957277
135,piton saint-leu,-21.2196,55.3151,20.06,68,0,3.09,RE,1700957278
136,black river,18.0264,-77.8487,26.65,80,83,1.03,JM,1700957278
137,aasiaat,68.7098,-52.8699,0.44,85,100,3.96,GL,1700957279
138,bredasdorp,-34.5322,20.0403,14.75,89,49,1.5,ZA,1700957279
139,xiahu,26.6106,119.9483,15.13,75,25,2.74,CN,1700957280
140,zhezqazghan,47.7833,67.7667,-0.42,56,100,3.46,KZ,1700957280
141,civitavecchia,42.0933,11.7967,4.9,52,0,3.0,IT,1700957281
142,vilyuchinsk,52.9306,158.4028,-4.86,71,19,11.54,RU,1700957281
143,taksimo,56.3444,114.8794,-26.04,93,62,0.36,RU,1700957282
144,avarua,-21.2078,-159.775,27.03,65,100,10.29,CK,1700957282
145,atafu village,-8.5421,-172.5159,29.36,71,93,4.52,TK,1700957283
146,olonkinbyen,70.9221,-8.7187,-2.19,71,7,4.17,SJ,1700957283
147,wad medani,14.4012,33.5199,28.63,28,4,4.51,SD,1700957284
148,hermanus,-34.4187,19.2345,16.23,78,36,3.57,ZA,1700957285
149,nevsehir,38.9167,34.6667,8.56,71,75,4.63,TR,1700957285
150,dayr hafir,36.1569,37.7078,13.01,71,47,3.75,SY,1700957286
151,constantia,44.1833,28.65,2.61,96,100,15.92,RO,1700957007
152,morehead city,34.7229,-76.726,9.46,82,100,7.72,US,1700957242
153,anadyr,64.75,177.4833,-0.72,100,75,9.0,RU,1700957287
154,jalqani,12.4486,34.2186,28.93,31,4,2.91,SD,1700957288
155,alaghsas,17.0187,8.0168,24.74,13,100,3.32,NE,1700957288
156,sinabang,2.4803,96.3801,24.67,90,100,2.55,ID,1700957289
157,nabire,-3.3667,135.4833,27.41,86,93,1.09,ID,1700957289
158,alice springs,-23.7,133.8833,31.75,29,100,4.12,AU,1700957042
159,tolanaro,-25.0319,46.9987,22.39,91,2,4.92,MG,1700957291
160,nuuk,64.1835,-51.7216,1.34,75,100,17.49,GL,1700957180
161,kailua-kona,19.6406,-155.9956,29.17,75,40,5.66,US,1700957292
162,fortuna,40.5982,-124.1573,13.29,67,0,0.0,US,1700957292
163,hadibu,12.65,54.0333,25.3,78,12,3.49,YE,1700957293
164,stanley,54.868,-1.6985,0.03,92,20,1.03,GB,1700957063
165,zavodoukovsk,56.5042,66.5515,-0.08,98,100,3.28,RU,1700957294
166,lionel town,17.8101,-77.2406,25.29,89,87,3.02,JM,1700957294
167,guerrero negro,27.9769,-114.0611,19.22,60,13,4.59,MX,1700957233
168,miri,4.4148,114.0089,25.89,91,100,1.61,MY,1700957295
169,vikulovo,56.8167,70.6107,0.47,98,100,4.2,RU,1700957296
170,buchanan,5.8808,-10.0467,25.86,84,97,2.47,LR,1700957296
171,luis correia,-2.8792,-41.6669,27.14,76,12,6.2,BR,1700957297
172,sisimiut,66.9395,-53.6735,-3.08,79,16,4.82,GL,1700957297
173,coquimbo,-29.9533,-71.3436,15.16,83,10,2.41,CL,1700957298
174,nynashamn,58.9034,17.9479,-3.83,77,94,7.99,SE,1700957298
175,callao,-12.0667,-77.15,21.51,73,20,5.66,PE,1700957298
176,punta arenas,-53.15,-70.9167,7.14,81,33,13.12,CL,1700957299
177,east london,-33.0153,27.9116,20.73,92,100,4.0,ZA,1700957299
178,siparia,10.1333,-61.5,25.64,86,57,4.01,TT,1700957300
179,porto belo,-27.1578,-48.5531,21.97,73,74,2.31,BR,1700957004
180,lompoc,34.6391,-120.4579,19.32,57,0,2.24,US,1700957301
181,kemijarvi,66.7131,27.4306,-9.19,94,100,1.98,FI,1700957301
182,rio grande,-32.035,-52.0986,18.06,76,20,4.77,BR,1700957301
183,haimen,23.1935,116.6142,17.93,75,0,3.16,CN,1700957302
184,fada,9.5667,8.3,22.14,74,63,0.71,NG,1700957302
185,mount isa,-20.7333,139.5,29.87,48,89,2.06,AU,1700957303
186,youhao,47.8667,128.8333,-17.52,90,98,1.24,CN,1700957303
187,antofagasta,-23.65,-70.4,16.77,81,44,2.6,CL,1700957304
188,swakopmund,-22.6833,14.5333,16.1,88,4,1.94,NA,1700957305
189,barvinkove,48.9097,37.0205,1.17,99,100,6.07,UA,1700957305
190,xichang,27.8964,102.2634,7.66,89,4,0.84,CN,1700957305
191,zaozersk,69.4005,32.4476,-8.29,95,99,0.67,RU,1700957306
192,puerto ayora,-0.7393,-90.3518,24.75,92,47,2.68,EC,1700957306
193,utrik,11.2278,169.8474,27.36,73,55,7.94,MH,1700957307
194,port macquarie,-31.4333,152.9167,27.72,55,83,1.32,AU,1700957302
195,lensk,60.7253,114.9278,-29.48,100,99,1.52,RU,1700957198
196,georgetown,5.4112,100.3354,27.19,83,20,2.57,MY,1700957300
197,jabor,5.921,169.6434,28.34,81,72,8.21,MH,1700957308
198,hithadhoo,-0.6,73.0833,27.11,79,45,1.7,MV,1700957309
199,al hufuf,25.3646,49.5653,18.19,88,79,0.0,SA,1700957310
200,barra de santo antonio,-9.4047,-35.5072,24.89,71,32,4.17,BR,1700957310
201,bure,10.7,37.0667,13.26,72,43,2.27,ET,1700957241
202,koutiala,12.3917,-5.4642,25.96,17,95,1.55,ML,1700957311
203,talnakh,69.4865,88.3972,-22.43,98,48,2.73,RU,1700957312
204,basco,20.4487,121.9702,24.84,78,100,10.05,PH,1700957312
205,crucecita,-28.95,-58.9833,22.09,63,95,3.11,AR,1700957313
206,puerto baquerizo moreno,-0.9,-89.6,24.43,81,82,6.31,EC,1700957313
207,six-fours-les-plages,43.0938,5.84,7.47,50,0,0.89,FR,1700957314
208,guarapari,-20.6667,-40.4975,23.27,77,94,3.09,BR,1700957314
209,narsingi,18.0333,78.4333,20.25,89,74,3.3,IN,1700957315
210,macapa,0.0389,-51.0664,27.62,74,73,5.23,BR,1700957315
211,sharypovo,55.5403,89.2008,-4.86,75,99,7.15,RU,1700957316
212,dabhol,17.6,73.1667,23.69,83,2,2.23,IN,1700957316
213,namibe,-15.1961,12.1522,23.78,83,98,3.44,AO,1700957317
214,buenos aires,-34.6132,-58.3772,23.94,74,0,5.66,AR,1700957162
215,dvurechensk,56.5982,61.0953,-1.79,92,100,2.97,RU,1700957318
216,kourou,5.1552,-52.6478,26.03,89,81,2.82,GF,1700957318
217,mount gambier,-37.8333,140.7667,14.56,76,99,4.7,AU,1700957319
218,inari,68.906,27.0288,-1.89,97,100,2.7,FI,1700957319
219,lamu,-2.2717,40.902,25.63,85,97,1.54,KE,1700957320
220,kapuskasing,49.4169,-82.4331,-1.17,59,99,5.38,CA,1700957320
221,likisa,-8.6695,125.6875,24.35,57,44,1.36,TL,1700957321
222,bela vista de goias,-16.9728,-48.9533,25.64,69,100,2.03,BR,1700957321
223,mirnyy,62.5353,113.9611,-28.76,68,90,3.13,RU,1700957322
224,port saint john's,-31.6229,29.5448,21.7,93,100,3.46,ZA,1700957322
225,arvayheer,46.2639,102.775,-6.53,78,100,6.77,MN,1700957323
226,kruisfontein,-34.0033,24.7314,14.16,88,74,1.02,ZA,1700957324
227,hastings,50.8552,0.5729,3.47,76,90,2.78,GB,1700957298
228,flying fish cove,-10.4217,105.6791,25.82,83,100,2.57,CX,1700957324
229,san sebastian de la gomera,28.0916,-17.1133,21.32,56,20,3.6,ES,1700957325
230,mwandiga,-4.83,29.6581,21.04,89,100,3.87,TZ,1700957325
231,richards bay,-28.783,32.0377,22.8,95,100,3.56,ZA,1700957325
232,tiksi,71.6872,128.8694,-25.57,96,80,1.03,RU,1700957326
233,colonia,50.9333,6.95,5.54,87,75,3.6,DE,1700957093
234,haiku-pauwela,20.9219,-156.3051,29.01,51,20,8.23,US,1700957327
235,mogadishu,2.0371,45.3438,27.69,77,85,7.0,SO,1700957206
236,vila franca do campo,37.7167,-25.4333,19.23,99,97,5.84,PT,1700957327
237,dezhou,37.4486,116.2925,0.56,91,13,0.49,CN,1700957328
238,san antonio de pale,-1.4014,5.6325,26.52,85,26,4.38,GQ,1700957328
239,tianpeng,30.9866,103.9393,14.24,64,20,0.34,CN,1700957329
240,fang,19.9169,99.2145,17.3,94,57,0.66,TH,1700957329
241,kayangel,8.0823,134.7173,28.81,76,7,7.11,PW,1700957330
242,al kharj,24.155,47.3346,19.32,66,74,2.81,SA,1700957330
243,port isabel,26.0734,-97.2086,23.04,87,100,2.57,US,1700957330
244,salym,60.0625,71.4789,-10.7,95,67,2.45,RU,1700957331
245,santa marta,11.2408,-74.199,27.16,78,17,2.24,CO,1700957331
246,tazovsky,67.4667,78.7,-20.62,89,18,4.9,RU,1700957332
247,kiunga,-6.1219,141.2906,25.44,94,99,0.39,PG,1700957332
